,ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
64,65,"AAP Gujarat chief invites Hardik Patel to join party amid rumours of infighting in state Congress unit

Read @ANI Story | https://t.co/I1eG1HN7M4
#AAP #HardikPatel #Congress #GujaratPolitics https://t.co/eSx3xTTqfA",ani_digital,https://aninews.in/news/national/politics/aap-gujarat-chief-invites-hardik-patel-to-join-party-amid-rumours-of-infighting-in-state-congress-unit20220415140035/,yes,yes,AAP HardikPatel Congress GujaratPolitics,ANI,1.51488468596467e+18,2022-04-15 08:33:48+00:00,0.5994,0.0,82,9,5,Information,positive
65,66,"In #Karauli Cauldron: Radicalised Muslims positioned atop buildings attacked Hindus undertaking a shobhayatra to celebrate Hindu Nav Varsh, leaving scores injured. The pre-planned attack was orchestrated by #Congress leaders with support of Islamists https://t.co/XziNhKrLHW",SikkaYatharth,https://organiser.org/2022/04/08/75587/bharat/in-karauli-cauldron/,yes,no,Karauli Congress,,1.51237091548024e+18,2022-04-08 10:04:59+00:00,-0.34,0.0,1497,852,23,Information,negative
66,67,Housing Project of 4000 homes for poor now converted as dumping yard in Huzurnagar A/C of #Telangana. It is a project where in at least ₹150 crores of public money was spent in 2009! Both #Congress(I) and #TRS are responsible for this mess. Is it not time to dump these parties? https://t.co/SeteLtLQ7X,RSPraveenSwaero,,no,yes,Telangana Congress TRS,,1.51376240569182e+18,2022-04-12 06:14:16+00:00,-0.2519,0.315277777777778,1182,389,42,Information,neutral
67,68,"Punjab Cong chief assures fixing of party's internal conflicts

Read @ANI Story | https://t.co/5MQfmNN5n9
#Punjab #Congress https://t.co/uHHweiGd17",ani_digital,https://aninews.in/news/national/general-news/punjab-cong-chief-assures-fixing-of-partys-internal-conflicts20220415134049/,yes,yes,Punjab Congress,ANI,1.51488499101639e+18,2022-04-15 08:35:01+00:00,-0.0772,0.0,43,5,1,Information,neutral
68,69,SAFE Banking Act needed to protect cannabis workers #USA #business #industry #workers #jobs #bank #banking #money #congress https://t.co/P3x7PMoCID https://t.co/LRtF3929hZ,CannabisCulture,https://bit.ly/3jBI0eG,yes,yes,USA business industry workers jobs bank banking money congress,,1.51477241254545e+18,2022-04-15 01:07:40+00:00,0.7378,0.5,30,7,0,Information,positive
69,70,Clash between #Congress and #BJP workers during protest against #Eeshwarappa in #Shivamogga #Karnataka. The incident took place when the Congress workers were moving towards the BJP Office to gherao Minister KS Eshwarappa. https://t.co/Y852ehvNHM,KeypadGuerilla,,no,yes,Congress BJP Eeshwarappa Shivamogga Karnataka,,1.51417699141868e+18,2022-04-13 09:41:41+00:00,-0.25,0.0,73,32,2,Information,neutral
70,71,"Simple words,plain speak, uttered with utmost honesty. 
Sad part is,truth hurts,lies, sycophancy &amp; sweet-sugar talk pleases,even if it emerges from mouths of terrorists, Jihadis &amp; godi media.
#TheKashmirFiles will stay etched on mind screens of everyone.
#Congress shall suffer. https://t.co/sKklUQDfu8",sikka_harinder,https://twitter.com/vivekagnihotri/status/1513025792476790786,yes,no,TheKashmirFiles Congress,,1.51302992091345e+18,2022-04-10 05:43:38+00:00,-0.8176,0.678571428571429,343,84,3,Misinformation,negative
71,72,"I am proud of @nsui, the organisation which groomed me as a leader. Congratulations and best wishes to the entire #NSUI family on the 52nd #NSUIFoundationDay

ఎన్.ఎస్.యు.ఐ ఆవిర్భావ దినోత్సవ శుభాకాంక్షలు.

📸: #Congress President Smt. #SoniaGandhi at NSUI Drishticon, 2006. https://t.co/p0LMjLQ4lj",VamsiChandReddy,,no,yes,NSUI NSUIFoundationDay Congress SoniaGandhi,nsui,1.51264403878853e+18,2022-04-09 04:10:17+00:00,0.9153,0.641666666666667,454,119,7,Misinformation,positive
72,73,"""Shri #RahulGandhi should takeover as the President of #Congress Party.""
- Shri @SharadYadavMP https://t.co/cHOaoQTbNH",VamsiChandReddy,,no,yes,RahulGandhi Congress,SharadYadavMP,1.51242489029646e+18,2022-04-08 13:39:27+00:00,0.4019,0.0,624,110,21,Information,positive
73,74,"Union Minister for Women and Child Development Minister, #SmritiIrani blamed the rising #fuel prices on free vaccines, ration and the poor in India, a #Congress leader has said.
https://t.co/hnxZTT5iQC",the_hindu,https://trib.al/FGLimrJ,yes,no,SmritiIrani fuel Congress,,1.51316241352433e+18,2022-04-10 14:30:07+00:00,-0.4404,0.7,345,75,46,Information,negative
74,75,"Karnataka Youth Congress protested against Home Minister Araga Jnanendra today in Bangalore. Youth congress president Nalapad asked for workers to file complaint against home minister in all districts

#Bengaluru #Congress #BJP #ReporterDiary | (@nagarjund) https://t.co/VU1raa6DCp",IndiaToday,,no,yes,Bengaluru Congress BJP ReporterDiary,nagarjund,1.51205330498495e+18,2022-04-07 13:02:55+00:00,-0.4019,0.2,122,36,2,Information,negative
75,76,"#Mumbai: #AAP celebrates #AmbedkarJayanti ; leadership visits #Chaityabhoomi to pay respects

#Ambedkar #AmbedkarJayanti2022 

@AAPMumbai @rubenmasc 

https://t.co/tSpk4Sw9fY 

 To get epaper daily on your whatsapp click here: 
 https://t.co/Y9UVm2tymp",fpjindia,https://freepressjournal.in/mumbai/mumbai-aap-celebrates-ambedkar-jayanti-leadership-visits-chaityabhoomi-to-pay-respects https://whatsapp.freepressjournal.in,yes,no,Mumbai AAP AmbedkarJayanti Chaityabhoomi Ambedkar AmbedkarJayanti2022,AAPMumbai rubenmasc,1.51459139166544e+18,2022-04-14 13:08:22+00:00,0.6808,0.0,32,17,0,Information,positive
76,77,So the fake claims of “being a common man” of #AAP are getting clear…on one hand they’re running to Central Government to seek financial help and on the other planning huge spending on personal ease of their ministers ?? https://t.co/P1yTq7gVOO,DrRajKumarINC,,no,yes,AAP,,1.51453647415031e+18,2022-04-14 09:30:08+00:00,0.7705,0.475,53,22,3,Misinformation,positive
77,78,"AAP Gujarat chief invites Hardik Patel to join party amid rumours of infighting in state Congress unit

Read @ANI Story | https://t.co/I1eG1HN7M4
#AAP #HardikPatel #Congress #GujaratPolitics https://t.co/eSx3xTTqfA",ani_digital,https://aninews.in/news/national/politics/aap-gujarat-chief-invites-hardik-patel-to-join-party-amid-rumours-of-infighting-in-state-congress-unit20220415140035/,yes,yes,AAP HardikPatel Congress GujaratPolitics,ANI,1.51488468596467e+18,2022-04-15 08:33:48+00:00,0.5994,0.0,82,9,5,Information,positive
78,79,"Education Minister #ManishSisodia said that action will be taken against private schools who increase fees without government’s permission. He said that after the #AAP government came to power in 2015, it did not allow private schools to increase fees.
https://t.co/cAX58sdBvi",the_hindu,https://trib.al/Gzy5jLZ,yes,no,ManishSisodia AAP,,1.51477811720995e+18,2022-04-15 01:30:21+00:00,0.4468,0.283333333333333,110,8,10,Information,positive
79,80,"Reality Of Arvind Kejriwal’s AAP Model!

824 out of 1027 schools in Delhi do not have a headmaster, NCPCR seeks explanation. 

#Delhi #School #AAP #ArvindKejriwal https://t.co/QmVOzxm5Pb",eOrganiser,,no,yes,Delhi School AAP ArvindKejriwal,,1.51415137404887e+18,2022-04-13 07:59:53+00:00,0.0,0.0,106,45,2,Information,neutral
80,81,#Gujarat #AAP demands resignation of education minister #JituVaghani after paper leaks #TV9News https://t.co/o0J4rCCgQc,tv9gujarati,,no,yes,Gujarat AAP JituVaghani TV9News,,1.51321422569436e+18,2022-04-10 17:56:00+00:00,-0.296,0.0,264,121,4,Information,neutral
81,82,#BJP unable to provide quality education despite 27 years of power in #Gujarat: #AAP leader @isudan_gadhvi #TV9News https://t.co/PbaLUADRfN,tv9gujarati,,no,yes,BJP Gujarat AAP TV9News,isudan_gadhvi,1.51206324653435e+18,2022-04-07 13:42:25+00:00,0.0,0.5,306,140,14,Information,neutral
82,83,"Kejriwal misuses his power, we will meet home minister, Delhi Police commissioner: Parvesh Verma on FIR against BJP leaders in Punjab

Read @ANI Story | https://t.co/mml9NztNci
#BJP #AAP https://t.co/EJnAsr8hhJ",ani_digital,https://www.aninews.in/news/national/politics/kejriwal-misuses-his-power-we-will-meet-home-minister-delhi-police-commissioner-parvesh-verma-on-fir-against-bjp-leaders-in-punjab20220410230352/,yes,yes,BJP AAP,ANI,1.51321176622619e+18,2022-04-10 17:46:13+00:00,0.0,0.0,345,46,12,Information,neutral
83,84,"AAP West Bengal raised its voiced over corruption in the rural development of the West Bengal government in state project ‘Karmatirtha. 
https://t.co/GTaISYcOqv
#Westbengal #AAP #AAPinBengal",AamAadmiPartyWB,https://pipanews.com/aam-admi-party-to-campaign-against-west-bengal-government/,yes,no,Westbengal AAP AAPinBengal,,1.51412764657318e+18,2022-04-13 06:25:36+00:00,0.0,0.0,48,32,6,Information,neutral
84,85,"#Watch | @AAPMaharashtra organised massive protest against fuel/LPG price hike; Hundreds of @AamAadmiParty Volunteers occupy #CST junction in #Mumbai 

#AAP #AAPMaharashtra #AamAadmiParty #Protest #FuelPriceHike #LPG #Protest #Viral #Massive #MumbaiPolice #PetrolDieselPriceHike https://t.co/zZTEAiweRW",fpjindia,,no,yes,Watch CST Mumbai AAP AAPMaharashtra AamAadmiParty Protest FuelPriceHike LPG Protest Viral Massive MumbaiPolice PetrolDieselPriceHike,AAPMaharashtra AamAadmiParty,1.51200660012678e+18,2022-04-07 09:57:19+00:00,-0.6124,1.0,98,49,1,Information,negative
85,86,"Launching an attack on the #AAP, the Opposition parties in #Punjab including the #Congress, the Shiromani Akali Dal, the BJP and the Punjab Lok Congress accused Delhi CM Arvind Kejriwal of running Punjab by “remote control”.
https://t.co/6woFfq7XMI",the_hindu,https://trib.al/ROtwiXb,yes,no,AAP Punjab Congress,,1.51392496803108e+18,2022-04-12 17:00:14+00:00,-0.3818,0.2,266,24,16,Information,negative
86,87,"L-G VS CM IN DELHI

""Democracy depends on various pillars, one is bureaucracy,""

@vinitgoenka, #BJP spokesperson said on the amendments to GNCTD Act which have been challenged by #AAP in SC. https://t.co/MadffuQrFi",MirrorNow,,no,yes,BJP AAP,vinitgoenka,1.51388094846256e+18,2022-04-12 14:05:19+00:00,-0.1027,0.5,37,29,7,Information,neutral
87,88,"Days after #ArvindKejriwal claimed massive support for #AAP in #Himachal, Anoop Kesari, his party’s state president, Satish Thakur, general secretary (Org) and Una president Iqbal Singh, joined the #BJP. https://t.co/jrpdBrubXN",rohit_chahal,,no,yes,ArvindKejriwal AAP Himachal BJP,,1.5126694505871e+18,2022-04-09 05:51:15+00:00,0.4019,0.75,154,32,3,Information,positive
88,89,"AAP PROTESTS OVER FUEL HIKE

#AAP supporters protest in #Kolkata against the Modi Government over rising #Petrol &amp; #Diesel prices.

#FuelPriceHike @AamAadmiParty https://t.co/2A5ib65vn3",MirrorNow,,no,yes,AAP Kolkata Petrol Diesel FuelPriceHike,AamAadmiParty,1.5131062926465e+18,2022-04-10 10:47:06+00:00,-0.186,0.0,64,34,0,Information,neutral
89,90,"#Babasaheb (#Ambedkar) talked about casteless society and we are working 2 achieve his vision. #AAP, while breaking the barriers of #caste, #creed #region, #religion, &amp; #language, wants to create a new vision. But we (#AamAadmiParty) will fight for the marginalised for their dues https://t.co/wftnviTH5j",nitinaayog,,no,yes,Babasaheb Ambedkar AAP caste creed region religion language AamAadmiParty,,1.51339343851065e+18,2022-04-11 05:48:07+00:00,-0.2144,0.277272727272727,67,21,4,Information,neutral
90,91,The truth of #Kejriwal Model gets clearer by the day! https://t.co/dm3KtdCBuU,devendrayadvinc,,no,yes,Kejriwal,,1.51484506547403e+18,2022-04-15 05:56:22+00:00,0.3802,0.0,39,18,0,Information,positive
91,92,"#Opinion: #Kejriwal is ideology-neutral. His #Politics is transactional: dollops of welfare in return for votes. It’s difficult for the #BJP to trap him in #secular versus communal binaries or national versus anti-national polarities, writes Arati R Jerath https://t.co/xF1O29Nhr3",thetribunechd,https://m.tribuneindia.com/news/comment/why-bjp-cant-afford-to-take-aap-lightly-384141,yes,no,Opinion Kejriwal Politics BJP secular,,1.51207289715769e+18,2022-04-07 14:20:46+00:00,-0.5859,1.0,306,168,12,Information,negative
